timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_enabled,cbf_margin,cbf_applied,cbf_fallback,u_nom_lr,u_nom_fb,u_filt_lr,u_filt_fb
1756189822.4733188,0,follower,auto,0.47678861021995544,0.05436606705188751,-0.15996235609054565,0.65,1.0,0.0,0.17321138978004458,0.9456339329481125,0.15996235609054565,0,0,0,0,1.0,-0.032586392843001355,-0.03206069044015708,-0.16247573303628982,0.47678861021995544,0.05436606705188751,-0.15996235609054565,False,,False,False,,,,
1756189822.5735862,1,leader,auto,0.5412525534629822,0.05237407982349396,0.8995427489280701,0.65,1.0,1.0,0.10874744653701784,0.947625920176506,0.10045725107192993,0,0,0,0,1.0,0.09972678067925944,-0.05208732875329525,-0.1959138259938431,0.5412525534629822,0.05237407982349396,0.8995427489280701,False,,False,False,,,,
1756189822.6786056,0,follower,auto,0.47678959369659424,0.05435490235686302,-0.1599787175655365,0.65,1.0,0.0,0.17321040630340578,0.945645097643137,0.1599787175655365,0,0,0,0,1.0,-0.032586441828948876,-0.032079415434648734,-0.1624941384835087,0.47678959369659424,0.05435490235686302,-0.1599787175655365,False,,False,False,,,,
1756189822.7789476,1,leader,auto,0.5412551164627075,0.05238073691725731,0.8995504975318909,0.65,1.0,1.0,0.1087448835372925,0.9476192630827427,0.10044950246810913,0,0,0,0,1.0,0.09972798363766427,-0.05207335734583163,-0.19589500162019102,0.5412551164627075,0.05238073691725731,0.8995504975318909,False,,False,False,,,,
1756189822.9015756,0,follower,auto,0.4767920970916748,0.054357968270778656,-0.15996821224689484,0.65,1.0,0.0,0.17320790290832522,0.9456420317292213,0.15996821224689484,0,0,0,0,1.0,-0.03258532558516636,-0.03206547117122352,-0.1624666169110233,0.4767920970916748,0.054357968270778656,-0.15996821224689484,False,,False,False,,,,
1756189823.0019093,1,leader,auto,0.5412558913230896,0.05238683894276619,0.8995555639266968,0.65,1.0,1.0,0.10874410867691042,0.9476131610572338,0.10044443607330322,0,0,0,0,1.0,0.0997257169538126,-0.05207483481136639,-0.19589882398572156,0.5412558913230896,0.05238683894276619,0.8995555639266968,False,,False,False,,,,
1756189823.1060634,0,follower,auto,0.47678476572036743,0.054365500807762146,-0.15996715426445007,0.65,1.0,0.0,0.1732152342796326,0.9456344991922379,0.15996715426445007,0,0,0,0,1.0,-0.03259563100084051,-0.03206212754947607,-0.16247706076271645,0.47678476572036743,0.054365500807762146,-0.15996715426445007,False,,False,False,,,,
1756189823.206418,1,leader,auto,0.5412536263465881,0.0523843951523304,0.8995492458343506,0.65,1.0,1.0,0.10874637365341189,0.9476156048476696,0.10045075416564941,0,0,0,0,1.0,0.0997223345734517,-0.05208421437665928,-0.19591111928745786,0.5412536263465881,0.0523843951523304,0.8995492458343506,False,,False,False,,,,
1756189823.310954,0,follower,auto,0.47678467631340027,0.054360177367925644,-0.15996786952018738,0.65,1.0,0.0,0.17321532368659975,0.9456398226320744,0.15996786952018738,0,0,0,0,1.0,-0.03258824136084604,-0.03207630714492132,-0.1624792038852932,0.47678467631340027,0.054360177367925644,-0.15996786952018738,False,,False,False,,,,
1756189823.411244,1,leader,auto,0.5412522554397583,0.05237350985407829,0.8995415568351746,0.65,1.0,1.0,0.10874774456024172,0.9476264901459217,0.10045844316482544,0,0,0,0,1.0,0.09972308904246768,-0.05209292685990621,-0.1959126632907675,0.5412522554397583,0.05237350985407829,0.8995415568351746,False,,False,False,,,,
